Ticker,Name
CNP,"CENTERPOINT ENERGY, INC. (XNYS:CNP)"
COF,CAPITAL ONE FINANCIAL CORPORATION (XNYS:COF)
COG,Cognor Holding S.A. (XWAR:COG)
COO,"THE COOPER COMPANIES, INC. (XNAS:COO)"
COP,CONOCOPHILLIPS (XNYS:COP)
COST,COSTCO WHOLESALE CORPORATION (XNAS:COST)
COTY,COTY INC. (XNYS:COTY)
CPB,CAMPBELL SOUP COMPANY (XNYS:CPB)
CPRT,"COPART, INC. (XNAS:CPRT)"
CRM,"SALESFORCE, INC. (XNYS:CRM)"
CSCO,"CISCO SYSTEMS, INC. (XNAS:CSCO)"
CSX,CSX Corporation (XNAS:CSX)
CTAS,CINTAS CORPORATION (XNAS:CTAS)
CTL,CAPITAL TRADE LINKS LIMITED (XBOM:538476)
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION (XNAS:CTSH)
CTVA,"CORTEVA, INC. (XNYS:CTVA)"
CTXS,CTXS
CVS,CVS HEALTH CORPORATION (XNYS:CVS)
CVX,CHEVRON CORPORATION (XNYS:CVX)
CXO,CORE LITHIUM LTD (XASX:CXO)
D,"Dominion Energy, Inc. (XNYS:D)"
DAL,Dalaroo Metals Ltd (XASX:DAL)
DD,"DuPont de Nemours, Inc. (XNYS:DD)"
DE,DEERE & COMPANY (XNYS:DE)
DFS,DISCOVER FINANCIAL SERVICES (XNYS:DFS)
DG,DOLLAR GENERAL CORPORATION (XNYS:DG)
DGX,QUEST DIAGNOSTICS INCORPORATED (XNYS:DGX)
DHI,"D.R. HORTON, INC. (XNYS:DHI)"
DHR,DANAHER CORPORATION (XNYS:DHR)
DIS,THE WALT DISNEY COMPANY (XNYS:DIS)
DISCA,DISCA
DISCK,DISCK
DISH,AMALA FOODS PLC (XLON:DISH)
DLR,"DIGITAL REALTY TRUST, INC. (XNYS:DLR)"
DLTR,"DOLLAR TREE, INC. (XNAS:DLTR)"
DOV,DOVER CORPORATION (XNYS:DOV)
DOW,Dow Inc. (XNYS:DOW)
DPZ,"DOMINO'S PIZZA, INC. (XNYS:DPZ)"
DRE,DREADNOUGHT RESOURCES LTD (XASX:DRE)
DRI,"DARDEN RESTAURANTS, INC. (XNYS:DRI)"
DTE,DTE ENERGY COMPANY (XNYS:DTE)
DUK,DUKE ENERGY CORPORATION (XNYS:DUK)
DVA,DAVITA INC. (XNYS:DVA)
DVN,DEVON ENERGY CORPORATION (XNYS:DVN)
DXC,DXC TECHNOLOGY COMPANY (XNYS:DXC)
DXCM,"DEXCOM, INC. (XNAS:DXCM)"
EA,ELECTRONIC ARTS INC. (XNAS:EA)
EBAY,EBAY INC. (XNAS:EBAY)
ECL,ECOLAB INC. (XNYS:ECL)
ED,"CONSOLIDATED EDISON, INC. (XNYS:ED)"
EFX,EQUIFAX INC. (XNYS:EFX)
EIX,EDISON INTERNATIONAL (XNYS:EIX)
EL,THE ESTEE LAUDER COMPANIES INC. (XNYS:EL)
EMN,EASTMAN CHEMICAL COMPANY (XNYS:EMN)
EMR,EMERSON ELECTRIC CO. (XNYS:EMR)
EOG,"EOG RESOURCES, INC. (XNYS:EOG)"
EQIX,"EQUINIX, INC. (XNAS:EQIX)"
EQR,EQUITY RESIDENTIAL (XNYS:EQR)
ES,Eversource Energy (XNYS:ES)
ESS,"ESSEX PROPERTY TRUST, INC. (XNYS:ESS)"
ETFC,ETFC
ETN,EATON CORPORATION PUBLIC LIMITED COMPANY (XNYS:ETN)
ETR,ENTERGY CORPORATION (XNYS:ETR)
EVRG,"Evergy, Inc. (XNAS:EVRG)"
EW,EDWARDS LIFESCIENCES CORPORATION (XNYS:EW)
EXC,EXELON CORPORATION (XNAS:EXC)
EXPD,"EXPEDITORS INTERNATIONAL OF WASHINGTON, INC (XNYS:EXPD)"
EXPE,"EXPEDIA GROUP, INC. (XNAS:EXPE)"
EXR,EXTRA SPACE STORAGE INC. (XNYS:EXR)
F,FORD MOTOR COMPANY (XNYS:F)
FANG,"DIAMONDBACK ENERGY, INC. (XNAS:FANG)"
FAST,Fastenal Company (XNAS:FAST)
FB,FB Financial Corporation (XNYS:FBK)
FBHS,FBHS
FCX,FREEPORT-MCMORAN INC. (XNYS:FCX)
FDX,FEDEX CORPORATION (XNYS:FDX)
FE,FIRSTENERGY CORP. (XNYS:FE)
FFIV,"F5, INC. (XNAS:FFIV)"
FIS,"FIDELITY NATIONAL INFORMATION SERVICES, INC. (XNYS:FIS)"
FISV,"FISERV, INC. (XWBO:FISV)"
FITB,FIFTH THIRD BANCORP (XNAS:FITB)
FLIR,FLIR
FLS,FLOWSERVE CORPORATION (XNYS:FLS)
FLT,Drone Delivery Canada Corp. (XTSX:FLT)
FMC,FMC CORPORATION (XNYS:FMC)
FOX,FOX CORPORATION (XNAS:FOX)
FOXA,FOX CORPORATION (XNAS:FOXA)
FRC,FRC
FRT,FEDERAL REALTY INVESTMENT TRUST (XNYS:FRT)
FTI,TECHNIPFMC PLC (XNYS:FTI)
FTNT,"FORTINET, INC. (XNAS:FTNT)"
FTV,FORTIVE CORPORATION (XNYS:FTV)
GD,GENERAL DYNAMICS CORPORATION (XNYS:GD)
GE,GENERAL ELECTRIC COMPANY (XNYS:GE)
GILD,"GILEAD SCIENCES, INC. (XNAS:GILD)"
GIS,"GENERAL MILLS, INC. (XNYS:GIS)"
GL,GLOBE LIFE INC. (XNYS:GL)
GLW,CORNING INCORPORATED (XNYS:GLW)
GM,GENERAL MOTORS COMPANY (XNYS:GM)
GOOG,ALPHABET INC. (XNAS:GOOG)
GOOGL,ALPHABET INC. (XNAS:GOOGL)
GPC,GENUINE PARTS COMPANY (XNYS:GPC)
GPN,GLOBAL PAYMENTS INC. (XNYS:GPN)
GPS,"THE GAP, INC. (XNYS:GPS)"
GRMN,Garmin Ltd (XNYS:GRMN)
GS,"THE GOLDMAN SACHS GROUP, INC. (XNYS:GS)"
GWW,"W.W. GRAINGER, INC. (XNYS:GWW)"
HAL,HALLIBURTON COMPANY (XNYS:HAL)
HAS,HAYS PLC (XLON:HAS)
HBAN,HUNTINGTON BANCSHARES INCORPORATED (XNAS:HBAN)
HBI,HANESBRANDS INC. (XNYS:HBI)
HCA,"HCA HEALTHCARE, INC. (XNYS:HCA)"
HD,"THE HOME DEPOT, INC. (XNYS:HD)"
HES,HESS CORPORATION (XNYS:HES)
HFC,HFC
HIG,"THE HARTFORD FINANCIAL SERVICES GROUP, INC. (XNYS:HIG)"
HII,"HUNTINGTON INGALLS INDUSTRIES, INC. (XNYS:HII)"
HLT,HILTON WORLDWIDE HOLDINGS INC. (XNYS:HLT)
HOLX,"HOLOGIC, INC. (XNAS:HOLX)"
HON,HONEYWELL INTERNATIONAL INC. (XNAS:HON)
HPE,HEWLETT PACKARD ENTERPRISE COMPANY (XNYS:HPE)
HPQ,HP INC. (XNYS:HPQ)
HRB,"H & R BLOCK, INC. (XNYS:HRB)"
HRL,HORMEL FOODS CORPORATION (XNYS:HRL)
HSIC,"HENRY SCHEIN, INC. (XNAS:HSIC)"
HST,"HOST HOTELS & RESORTS, INC. (XNAS:HST)"
HSY,THE HERSHEY COMPANY (XNYS:HSY)
HUM,HUMANA INC. (XNYS:HUM)
HWM,HOWMET AEROSPACE INC. (XNYS:HWM)
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION (XNYS:IBM)
ICE,"INTERCONTINENTAL EXCHANGE, INC. (XNYS:ICE)"
IDXX,"IDEXX LABORATORIES, INC. (XNAS:IDXX)"
IEX,IDEX CORPORATION (XNYS:IEX)
IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC. (XNYS:IFF)
ILMN,"ILLUMINA, INC. (XNAS:ILMN)"
INCY,INCYTE CORPORATION (XNAS:INCY)
INFO,"METRO ONE TELECOMMUNICATIONS, INC. (OTCM:WOWID)"
INTC,INTEL CORPORATION (XNAS:INTC)
INTU,INTUIT INC. (XNAS:INTU)
IP,INTERNATIONAL PAPER COMPANY (XNYS:IP)
IPG,"THE INTERPUBLIC GROUP OF COMPANIES, INC. (XNYS:IPG)"
IPGP,IPG PHOTONICS CORPORATION (XNAS:IPGP)
IQV,IQVIA HOLDINGS INC (XNYS:IQV)
IR,INGERSOLL RAND INC. (XNYS:IR)
IRM,IRON MOUNTAIN INCORPORATED (XNYS:IRM)
ISRG,"INTUITIVE SURGICAL, INC. (XNAS:ISRG)"
IT,"GARTNER, INC. (XNYS:IT)"
ITW,ILLINOIS TOOL WORKS INC. (XNYS:ITW)
IVZ,INVESCO LTD. (XNYS:IVZ)
J,JACOBS SOLUTIONS INC. (XNYS:J)
JBHT,"J. B. HUNT TRANSPORT SERVICES, INC. (XNAS:JBHT)"
JCI,JOHNSON CONTROLS INTERNATIONAL PLC (XNYS:JCI)
JKHY,"JACK HENRY & ASSOCIATES, INC. (XNAS:JKHY)"
JNJ,JOHNSON & JOHNSON (XNYS:JNJ)
JNPR,"JUNIPER NETWORKS, INC. (XNYS:JNPR)"
JPM,JPMORGAN CHASE & CO. (XNYS:JPM)
K,KELLANOVA (XNYS:K)
KEY,KEYCORP (XNYS:KEY)
KEYS,"KEYSIGHT TECHNOLOGIES, INC. (XNYS:KEYS)"
