Ticker,Name
VRSK,"VERISK ANALYTICS, INC. (XNAS:VRSK)"
VRSN,"VERISIGN, INC. (XNAS:VRSN)"
VRTX,VERTEX PHARMACEUTICALS INCORPORATED (XNAS:VRTX)
VTR,"VENTAS, INC. (XNYS:VTR)"
VZ,VERIZON COMMUNICATIONS INC. (XNYS:VZ)
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORPORATION (XNYS:WAB)
WAT,WATERS CORPORATION (XNYS:WAT)
WBA,"WALGREENS BOOTS ALLIANCE, INC. (XNAS:WBA)"
WDC,WESTERN DIGITAL CORPORATION (XNAS:WDC)
WEC,"WEC ENERGY GROUP, INC. (XNYS:WEC)"
WELL,WELLTOWER INC. (XNYS:WELL)
WFC,WELLS FARGO & COMPANY (XNYS:WFC)
WHR,WHIRLPOOL CORPORATION (XNYS:WHR)
WLTW,WLTW
WM,"WASTE MANAGEMENT, INC. (XNYS:WM)"
WMB,"THE WILLIAMS COMPANIES, INC. (XNYS:WMB)"
WMT,WALMART INC. (XNYS:WMT)
WRB,W. R. BERKLEY CORPORATION (XNYS:WRB)
WRK,WESTROCK COMPANY (XNYS:WRK)
WST,"WEST PHARMACEUTICAL SERVICES, INC. (XNYS:WST)"
WU,THE WESTERN UNION COMPANY (XNYS:WU)
WY,WEYERHAEUSER COMPANY (XNYS:WY)
WYNN,"WYNN RESORTS, LIMITED (XNAS:WYNN)"
XEL,Xcel Energy Inc. (XNAS:XEL)
XLNX,XLNX
XOM,EXXON MOBIL CORPORATION (XNYS:XOM)
XRAY,DENTSPLY SIRONA INC. (XNAS:XRAY)
XRX,Xerox Holdings Corp (XNAS:XRX)
XYL,XYLEM INC. (XNYS:XYL)
YUM,"YUM! BRANDS, INC. (XNYS:YUM)"
ZBH,"ZIMMER BIOMET HOLDINGS, INC. (XNYS:ZBH)"
ZBRA,ZEBRA TECHNOLOGIES CORPORATION (XNAS:ZBRA)
ZION,"ZIONS BANCORPORATION, NATIONAL ASSOCIATION (XNAS:ZION)"
ZTS,ZOETIS INC. (XNYS:ZTS)
